model,sample_idx,ablation_method,amplification_method,prompt_lang,adj_lang,adjective,prompt,tracked_target,baseline_adj_rank,combined_adj_rank,baseline_target_logit,combined_target_logit,delta_combined_logit
gemma-2-2b,5,desc,desc,zh,de,leicht,"""leicht""的反义词是""",schwer,175,1316,13.8125,11.375,-2.4375
gemma-2-2b,5,desc,val,zh,de,leicht,"""leicht""的反义词是""",schwer,175,2200,13.8125,9.6875,-4.125
gemma-2-2b,5,desc,freq,zh,de,leicht,"""leicht""的反义词是""",schwer,175,1445,13.8125,9.9375,-3.875
gemma-2-2b,5,val,desc,zh,de,leicht,"""leicht""的反义词是""",schwer,175,9,13.8125,19.25,5.4375
gemma-2-2b,5,val,val,zh,de,leicht,"""leicht""的反义词是""",schwer,175,1426,13.8125,12.625,-1.1875
gemma-2-2b,5,val,freq,zh,de,leicht,"""leicht""的反义词是""",schwer,175,5,13.8125,17.5,3.6875
gemma-2-2b,5,freq,desc,zh,de,leicht,"""leicht""的反义词是""",schwer,175,1761,13.8125,11.125,-2.6875
gemma-2-2b,5,freq,val,zh,de,leicht,"""leicht""的反义词是""",schwer,175,2414,13.8125,9.125,-4.6875
gemma-2-2b,5,freq,freq,zh,de,leicht,"""leicht""的反义词是""",schwer,175,1823,13.8125,11.25,-2.5625
gemma-2-2b,6,desc,desc,zh,de,einfach,"""einfach""的反义词是""",schwierig,883,1257,13.625,13.1875,-0.4375
gemma-2-2b,6,desc,val,zh,de,einfach,"""einfach""的反义词是""",schwierig,883,2034,13.625,11.4375,-2.1875
gemma-2-2b,6,desc,freq,zh,de,einfach,"""einfach""的反义词是""",schwierig,883,872,13.625,12.125,-1.5
gemma-2-2b,6,val,desc,zh,de,einfach,"""einfach""的反义词是""",schwierig,883,26,13.625,19.375,5.75
gemma-2-2b,6,val,val,zh,de,einfach,"""einfach""的反义词是""",schwierig,883,1383,13.625,14.25,0.625
gemma-2-2b,6,val,freq,zh,de,einfach,"""einfach""的反义词是""",schwierig,883,14,13.625,18.0,4.375
gemma-2-2b,6,freq,desc,zh,de,einfach,"""einfach""的反义词是""",schwierig,883,1800,13.625,12.875,-0.75
gemma-2-2b,6,freq,val,zh,de,einfach,"""einfach""的反义词是""",schwierig,883,2213,13.625,10.875,-2.75
gemma-2-2b,6,freq,freq,zh,de,einfach,"""einfach""的反义词是""",schwierig,883,1772,13.625,12.9375,-0.6875
gemma-2-2b,7,desc,desc,zh,de,neu,"""neu""的反义词是""",alt,322,322,15.25,15.25,0.0
gemma-2-2b,7,desc,val,zh,de,neu,"""neu""的反义词是""",alt,322,254,15.25,14.0625,-1.1875
gemma-2-2b,7,desc,freq,zh,de,neu,"""neu""的反义词是""",alt,322,64,15.25,15.25,0.0
gemma-2-2b,7,val,desc,zh,de,neu,"""neu""的反义词是""",alt,322,17,15.25,19.75,4.5
gemma-2-2b,7,val,val,zh,de,neu,"""neu""的反义词是""",alt,322,355,15.25,15.9375,0.6875
gemma-2-2b,7,val,freq,zh,de,neu,"""neu""的反义词是""",alt,322,64,15.25,16.5,1.25
gemma-2-2b,7,freq,desc,zh,de,neu,"""neu""的反义词是""",alt,322,461,15.25,14.875,-0.375
gemma-2-2b,7,freq,val,zh,de,neu,"""neu""的反义词是""",alt,322,609,15.25,12.8125,-2.4375
gemma-2-2b,7,freq,freq,zh,de,neu,"""neu""的反义词是""",alt,322,491,15.25,14.875,-0.375
gemma-2-2b,8,desc,desc,zh,de,wahr,"""wahr""的反义词是""",falsch,0,1,21.875,21.25,-0.625
gemma-2-2b,8,desc,val,zh,de,wahr,"""wahr""的反义词是""",falsch,0,2,21.875,19.875,-2.0
gemma-2-2b,8,desc,freq,zh,de,wahr,"""wahr""的反义词是""",falsch,0,0,21.875,20.375,-1.5
gemma-2-2b,8,val,desc,zh,de,wahr,"""wahr""的反义词是""",falsch,0,0,21.875,22.0,0.125
gemma-2-2b,8,val,val,zh,de,wahr,"""wahr""的反义词是""",falsch,0,1,21.875,22.125,0.25
gemma-2-2b,8,val,freq,zh,de,wahr,"""wahr""的反义词是""",falsch,0,1,21.875,20.375,-1.5
gemma-2-2b,8,freq,desc,zh,de,wahr,"""wahr""的反义词是""",falsch,0,1,21.875,21.5,-0.375
gemma-2-2b,8,freq,val,zh,de,wahr,"""wahr""的反义词是""",falsch,0,1,21.875,20.0,-1.875
gemma-2-2b,8,freq,freq,zh,de,wahr,"""wahr""的反义词是""",falsch,0,1,21.875,21.5,-0.375
gemma-2-2b,9,desc,desc,zh,de,lebendig,"""lebendig""的反义词是""",tot,3126,4235,8.8125,8.3125,-0.5
gemma-2-2b,9,desc,val,zh,de,lebendig,"""lebendig""的反义词是""",tot,3126,4488,8.8125,7.21875,-1.59375
gemma-2-2b,9,desc,freq,zh,de,lebendig,"""lebendig""的反义词是""",tot,3126,15262,8.8125,5.125,-3.6875
gemma-2-2b,9,val,desc,zh,de,lebendig,"""lebendig""的反义词是""",tot,3126,123,8.8125,15.5625,6.75
gemma-2-2b,9,val,val,zh,de,lebendig,"""lebendig""的反义词是""",tot,3126,4582,8.8125,9.4375,0.625
gemma-2-2b,9,val,freq,zh,de,lebendig,"""lebendig""的反义词是""",tot,3126,2077,8.8125,10.0625,1.25
gemma-2-2b,9,freq,desc,zh,de,lebendig,"""lebendig""的反义词是""",tot,3126,7874,8.8125,7.46875,-1.34375
gemma-2-2b,9,freq,val,zh,de,lebendig,"""lebendig""的反义词是""",tot,3126,9580,8.8125,5.375,-3.4375
gemma-2-2b,9,freq,freq,zh,de,lebendig,"""lebendig""的反义词是""",tot,3126,7931,8.8125,7.34375,-1.46875
gemma-2-2b,10,desc,desc,zh,de,voll,"""voll""的反义词是""",leer,14,68,19.125,17.625,-1.5
gemma-2-2b,10,desc,val,zh,de,voll,"""voll""的反义词是""",leer,14,36,19.125,17.125,-2.0
gemma-2-2b,10,desc,freq,zh,de,voll,"""voll""的反义词是""",leer,14,94,19.125,15.375,-3.75
gemma-2-2b,10,val,desc,zh,de,voll,"""voll""的反义词是""",leer,14,3,19.125,21.5,2.375
gemma-2-2b,10,val,val,zh,de,voll,"""voll""的反义词是""",leer,14,44,19.125,19.25,0.125
gemma-2-2b,10,val,freq,zh,de,voll,"""voll""的反义词是""",leer,14,27,19.125,17.0,-2.125
gemma-2-2b,10,freq,desc,zh,de,voll,"""voll""的反义词是""",leer,14,69,19.125,17.75,-1.375
gemma-2-2b,10,freq,val,zh,de,voll,"""voll""的反义词是""",leer,14,58,19.125,16.75,-2.375
gemma-2-2b,10,freq,freq,zh,de,voll,"""voll""的反义词是""",leer,14,82,19.125,17.5,-1.625
gemma-2-2b,11,desc,desc,zh,de,hell,"""hell""的反义词是""",dunkel,35339,35339,4.4375,4.4375,0.0
gemma-2-2b,11,desc,val,zh,de,hell,"""hell""的反义词是""",dunkel,35339,22031,4.4375,4.34375,-0.09375
gemma-2-2b,11,desc,freq,zh,de,hell,"""hell""的反义词是""",dunkel,35339,61696,4.4375,0.98828125,-3.44921875
gemma-2-2b,11,val,desc,zh,de,hell,"""hell""的反义词是""",dunkel,35339,7016,4.4375,9.1875,4.75
gemma-2-2b,11,val,val,zh,de,hell,"""hell""的反义词是""",dunkel,35339,23181,4.4375,6.28125,1.84375
gemma-2-2b,11,val,freq,zh,de,hell,"""hell""的反义词是""",dunkel,35339,33865,4.4375,4.15625,-0.28125
gemma-2-2b,11,freq,desc,zh,de,hell,"""hell""的反义词是""",dunkel,35339,41744,4.4375,4.125,-0.3125
gemma-2-2b,11,freq,val,zh,de,hell,"""hell""的反义词是""",dunkel,35339,42973,4.4375,2.140625,-2.296875
gemma-2-2b,11,freq,freq,zh,de,hell,"""hell""的反义词是""",dunkel,35339,47086,4.4375,3.78125,-0.65625
gemma-2-2b,12,desc,desc,zh,de,stark,"""stark""的反义词是""",schwach,4807,4807,13.125,13.125,0.0
gemma-2-2b,12,desc,val,zh,de,stark,"""stark""的反义词是""",schwach,4807,7579,13.125,10.875,-2.25
gemma-2-2b,12,desc,freq,zh,de,stark,"""stark""的反义词是""",schwach,4807,2323,13.125,13.0,-0.125
gemma-2-2b,12,val,desc,zh,de,stark,"""stark""的反义词是""",schwach,4807,91,13.125,19.625,6.5
gemma-2-2b,12,val,val,zh,de,stark,"""stark""的反义词是""",schwach,4807,5399,13.125,13.4375,0.3125
gemma-2-2b,12,val,freq,zh,de,stark,"""stark""的反义词是""",schwach,4807,29,13.125,19.125,6.0
gemma-2-2b,12,freq,desc,zh,de,stark,"""stark""的反义词是""",schwach,4807,6436,13.125,12.6875,-0.4375
gemma-2-2b,12,freq,val,zh,de,stark,"""stark""的反义词是""",schwach,4807,7960,13.125,10.375,-2.75
gemma-2-2b,12,freq,freq,zh,de,stark,"""stark""的反义词是""",schwach,4807,6692,13.125,12.625,-0.5
gemma-2-2b,13,desc,desc,zh,de,sauber,"""sauber""的反义词是""",schmutzig,874,1230,10.75,10.375,-0.375
gemma-2-2b,13,desc,val,zh,de,sauber,"""sauber""的反义词是""",schmutzig,874,2361,10.75,8.1875,-2.5625
gemma-2-2b,13,desc,freq,zh,de,sauber,"""sauber""的反义词是""",schmutzig,874,1294,10.75,9.3125,-1.4375
gemma-2-2b,13,val,desc,zh,de,sauber,"""sauber""的反义词是""",schmutzig,874,10,10.75,19.125,8.375
gemma-2-2b,13,val,val,zh,de,sauber,"""sauber""的反义词是""",schmutzig,874,1572,10.75,11.3125,0.5625
gemma-2-2b,13,val,freq,zh,de,sauber,"""sauber""的反义词是""",schmutzig,874,20,10.75,16.625,5.875
gemma-2-2b,13,freq,desc,zh,de,sauber,"""sauber""的反义词是""",schmutzig,874,1658,10.75,10.0625,-0.6875
gemma-2-2b,13,freq,val,zh,de,sauber,"""sauber""的反义词是""",schmutzig,874,2293,10.75,7.75,-3.0
gemma-2-2b,13,freq,freq,zh,de,sauber,"""sauber""的反义词是""",schmutzig,874,1687,10.75,9.9375,-0.8125
gemma-2-2b,14,desc,desc,zh,de,offen,"""offen""的反义词是""",geschlossen,183,183,12.75,12.75,0.0
gemma-2-2b,14,desc,val,zh,de,offen,"""offen""的反义词是""",geschlossen,183,174,12.75,11.75,-1.0
gemma-2-2b,14,desc,freq,zh,de,offen,"""offen""的反义词是""",geschlossen,183,7,12.75,14.6875,1.9375
gemma-2-2b,14,val,desc,zh,de,offen,"""offen""的反义词是""",geschlossen,183,7,12.75,19.375,6.625
gemma-2-2b,14,val,val,zh,de,offen,"""offen""的反义词是""",geschlossen,183,264,12.75,13.625,0.875
gemma-2-2b,14,val,freq,zh,de,offen,"""offen""的反义词是""",geschlossen,183,4,12.75,18.625,5.875
gemma-2-2b,14,freq,desc,zh,de,offen,"""offen""的反义词是""",geschlossen,183,190,12.75,12.9375,0.1875
gemma-2-2b,14,freq,val,zh,de,offen,"""offen""的反义词是""",geschlossen,183,129,12.75,12.125,-0.625
gemma-2-2b,14,freq,freq,zh,de,offen,"""offen""的反义词是""",geschlossen,183,209,12.75,12.75,0.0
gemma-2-2b,15,desc,desc,zh,de,reich,"""reich""的反义词是""",arm,1432,2387,13.1875,12.4375,-0.75
gemma-2-2b,15,desc,val,zh,de,reich,"""reich""的反义词是""",arm,1432,4304,13.1875,10.25,-2.9375
gemma-2-2b,15,desc,freq,zh,de,reich,"""reich""的反义词是""",arm,1432,707,13.1875,12.6875,-0.5
gemma-2-2b,15,val,desc,zh,de,reich,"""reich""的反义词是""",arm,1432,40,13.1875,18.5,5.3125
gemma-2-2b,15,val,val,zh,de,reich,"""reich""的反义词是""",arm,1432,1965,13.1875,13.625,0.4375
gemma-2-2b,15,val,freq,zh,de,reich,"""reich""的反义词是""",arm,1432,27,13.1875,17.5,4.3125
gemma-2-2b,15,freq,desc,zh,de,reich,"""reich""的反义词是""",arm,1432,4199,13.1875,11.75,-1.4375
gemma-2-2b,15,freq,val,zh,de,reich,"""reich""的反义词是""",arm,1432,5710,13.1875,9.3125,-3.875
gemma-2-2b,15,freq,freq,zh,de,reich,"""reich""的反义词是""",arm,1432,3855,13.1875,11.8125,-1.375
gemma-2-2b,16,desc,desc,zh,de,schön,"""schön""的反义词是""",hässlich,96,424,14.3125,12.8125,-1.5
gemma-2-2b,16,desc,val,zh,de,schön,"""schön""的反义词是""",hässlich,96,852,14.3125,10.5,-3.8125
gemma-2-2b,16,desc,freq,zh,de,schön,"""schön""的反义词是""",hässlich,96,505,14.3125,11.75,-2.5625
gemma-2-2b,16,val,desc,zh,de,schön,"""schön""的反义词是""",hässlich,96,77,14.3125,15.6875,1.375
gemma-2-2b,16,val,val,zh,de,schön,"""schön""的反义词是""",hässlich,96,1041,14.3125,12.8125,-1.5
gemma-2-2b,16,val,freq,zh,de,schön,"""schön""的反义词是""",hässlich,96,191,14.3125,12.9375,-1.375
gemma-2-2b,16,freq,desc,zh,de,schön,"""schön""的反义词是""",hässlich,96,689,14.3125,12.5,-1.8125
gemma-2-2b,16,freq,val,zh,de,schön,"""schön""的反义词是""",hässlich,96,1375,14.3125,9.375,-4.9375
gemma-2-2b,16,freq,freq,zh,de,schön,"""schön""的反义词是""",hässlich,96,896,14.3125,12.0,-2.3125
gemma-2-2b,17,desc,desc,zh,de,lang,"""lang""的反义词是""",kurz,12841,12841,10.75,10.75,0.0
gemma-2-2b,17,desc,val,zh,de,lang,"""lang""的反义词是""",kurz,12841,21754,10.75,8.25,-2.5
gemma-2-2b,17,desc,freq,zh,de,lang,"""lang""的反义词是""",kurz,12841,29800,10.75,6.78125,-3.96875
gemma-2-2b,17,val,desc,zh,de,lang,"""lang""的反义词是""",kurz,12841,1064,10.75,15.5625,4.8125
gemma-2-2b,17,val,val,zh,de,lang,"""lang""的反义词是""",kurz,12841,17041,10.75,11.125,0.375
gemma-2-2b,17,val,freq,zh,de,lang,"""lang""的反义词是""",kurz,12841,4804,10.75,10.875,0.125
gemma-2-2b,17,freq,desc,zh,de,lang,"""lang""的反义词是""",kurz,12841,16814,10.75,10.3125,-0.4375
gemma-2-2b,17,freq,val,zh,de,lang,"""lang""的反义词是""",kurz,12841,30770,10.75,6.96875,-3.78125
gemma-2-2b,17,freq,freq,zh,de,lang,"""lang""的反义词是""",kurz,12841,20217,10.75,9.9375,-0.8125
gemma-2-2b,18,desc,desc,zh,de,breit,"""breit""的反义词是""",eng,163,292,15.9375,15.375,-0.5625
gemma-2-2b,18,desc,val,zh,de,breit,"""breit""的反义词是""",eng,163,594,15.9375,13.6875,-2.25
gemma-2-2b,18,desc,freq,zh,de,breit,"""breit""的反义词是""",eng,163,106,15.9375,16.125,0.1875
gemma-2-2b,18,val,desc,zh,de,breit,"""breit""的反义词是""",eng,163,31,15.9375,19.25,3.3125
gemma-2-2b,18,val,val,zh,de,breit,"""breit""的反义词是""",eng,163,392,15.9375,16.25,0.3125
gemma-2-2b,18,val,freq,zh,de,breit,"""breit""的反义词是""",eng,163,27,15.9375,18.125,2.1875
gemma-2-2b,18,freq,desc,zh,de,breit,"""breit""的反义词是""",eng,163,499,15.9375,15.0,-0.9375
gemma-2-2b,18,freq,val,zh,de,breit,"""breit""的反义词是""",eng,163,744,15.9375,13.1875,-2.75
gemma-2-2b,18,freq,freq,zh,de,breit,"""breit""的反义词是""",eng,163,487,15.9375,15.0,-0.9375
gemma-2-2b,19,desc,desc,zh,de,hart,"""hart""的反义词是""",weich,3164,3164,14.25,14.25,0.0
gemma-2-2b,19,desc,val,zh,de,hart,"""hart""的反义词是""",weich,3164,5872,14.25,11.75,-2.5
gemma-2-2b,19,desc,freq,zh,de,hart,"""hart""的反义词是""",weich,3164,3174,14.25,12.875,-1.375
gemma-2-2b,19,val,desc,zh,de,hart,"""hart""的反义词是""",weich,3164,91,14.25,19.375,5.125
gemma-2-2b,19,val,val,zh,de,hart,"""hart""的反义词是""",weich,3164,6414,14.25,13.75,-0.5
gemma-2-2b,19,val,freq,zh,de,hart,"""hart""的反义词是""",weich,3164,154,14.25,17.5,3.25
gemma-2-2b,19,freq,desc,zh,de,hart,"""hart""的反义词是""",weich,3164,2467,14.25,14.6875,0.4375
gemma-2-2b,19,freq,val,zh,de,hart,"""hart""的反义词是""",weich,3164,2964,14.25,12.4375,-1.8125
gemma-2-2b,19,freq,freq,zh,de,hart,"""hart""的反义词是""",weich,3164,2444,14.25,14.6875,0.4375
gemma-2-2b,20,desc,desc,zh,de,trocken,"""trocken""的反义词是""",nass,88,806,13.75,11.0,-2.75
gemma-2-2b,20,desc,val,zh,de,trocken,"""trocken""的反义词是""",nass,88,255,13.75,11.6875,-2.0625
gemma-2-2b,20,desc,freq,zh,de,trocken,"""trocken""的反义词是""",nass,88,1006,13.75,9.3125,-4.4375
gemma-2-2b,20,val,desc,zh,de,trocken,"""trocken""的反义词是""",nass,88,58,13.75,16.875,3.125
gemma-2-2b,20,val,val,zh,de,trocken,"""trocken""的反义词是""",nass,88,615,13.75,12.9375,-0.8125
gemma-2-2b,20,val,freq,zh,de,trocken,"""trocken""的反义词是""",nass,88,375,13.75,12.0625,-1.6875
gemma-2-2b,20,freq,desc,zh,de,trocken,"""trocken""的反义词是""",nass,88,2482,13.75,9.8125,-3.9375
gemma-2-2b,20,freq,val,zh,de,trocken,"""trocken""的反义词是""",nass,88,1640,13.75,8.5625,-5.1875
gemma-2-2b,20,freq,freq,zh,de,trocken,"""trocken""的反义词是""",nass,88,2467,13.75,9.8125,-3.9375
gemma-2-2b,21,desc,desc,zh,de,laut,"""laut""的反义词是""",still,68,95,16.125,15.6875,-0.4375
gemma-2-2b,21,desc,val,zh,de,laut,"""laut""的反义词是""",still,68,170,16.125,13.625,-2.5
gemma-2-2b,21,desc,freq,zh,de,laut,"""laut""的反义词是""",still,68,156,16.125,13.0,-3.125
gemma-2-2b,21,val,desc,zh,de,laut,"""laut""的反义词是""",still,68,6,16.125,19.125,3.0
gemma-2-2b,21,val,val,zh,de,laut,"""laut""的反义词是""",still,68,95,16.125,17.0,0.875
gemma-2-2b,21,val,freq,zh,de,laut,"""laut""的反义词是""",still,68,2,16.125,15.9375,-0.1875
gemma-2-2b,21,freq,desc,zh,de,laut,"""laut""的反义词是""",still,68,124,16.125,15.5625,-0.5625
gemma-2-2b,21,freq,val,zh,de,laut,"""laut""的反义词是""",still,68,187,16.125,13.0625,-3.0625
gemma-2-2b,21,freq,freq,zh,de,laut,"""laut""的反义词是""",still,68,147,16.125,15.25,-0.875
gemma-2-2b,22,desc,desc,zh,de,früh,"""früh""的反义词是""",spät,1,25,20.25,17.875,-2.375
gemma-2-2b,22,desc,val,zh,de,früh,"""früh""的反义词是""",spät,1,35,20.25,16.5,-3.75
gemma-2-2b,22,desc,freq,zh,de,früh,"""früh""的反义词是""",spät,1,9,20.25,17.0,-3.25
gemma-2-2b,22,val,desc,zh,de,früh,"""früh""的反义词是""",spät,1,4,20.25,20.125,-0.125
gemma-2-2b,22,val,val,zh,de,früh,"""früh""的反义词是""",spät,1,18,20.25,19.75,-0.5
gemma-2-2b,22,val,freq,zh,de,früh,"""früh""的反义词是""",spät,1,6,20.25,17.75,-2.5
gemma-2-2b,22,freq,desc,zh,de,früh,"""früh""的反义词是""",spät,1,41,20.25,17.75,-2.5
gemma-2-2b,22,freq,val,zh,de,früh,"""früh""的反义词是""",spät,1,63,20.25,15.9375,-4.3125
gemma-2-2b,22,freq,freq,zh,de,früh,"""früh""的反义词是""",spät,1,43,20.25,17.75,-2.5
gemma-2-2b,23,desc,desc,zh,de,nah,"""nah""的反义词是""",fern,7148,7148,11.0,11.0,0.0
gemma-2-2b,23,desc,val,zh,de,nah,"""nah""的反义词是""",fern,7148,5548,11.0,10.3125,-0.6875
gemma-2-2b,23,desc,freq,zh,de,nah,"""nah""的反义词是""",fern,7148,17531,11.0,7.5,-3.5
gemma-2-2b,23,val,desc,zh,de,nah,"""nah""的反义词是""",fern,7148,1265,11.0,15.375,4.375
gemma-2-2b,23,val,val,zh,de,nah,"""nah""的反义词是""",fern,7148,4866,11.0,12.5,1.5
gemma-2-2b,23,val,freq,zh,de,nah,"""nah""的反义词是""",fern,7148,2836,11.0,11.8125,0.8125
gemma-2-2b,23,freq,desc,zh,de,nah,"""nah""的反义词是""",fern,7148,11304,11.0,10.1875,-0.8125
gemma-2-2b,23,freq,val,zh,de,nah,"""nah""的反义词是""",fern,7148,13021,11.0,8.1875,-2.8125
gemma-2-2b,23,freq,freq,zh,de,nah,"""nah""的反义词是""",fern,7148,11718,11.0,10.0625,-0.9375
gemma-2-2b,24,desc,desc,zh,de,tief,"""tief""的反义词是""",flach,726,989,12.5625,12.25,-0.3125
gemma-2-2b,24,desc,val,zh,de,tief,"""tief""的反义词是""",flach,726,1879,12.5625,10.4375,-2.125
gemma-2-2b,24,desc,freq,zh,de,tief,"""tief""的反义词是""",flach,726,2319,12.5625,10.8125,-1.75
gemma-2-2b,24,val,desc,zh,de,tief,"""tief""的反义词是""",flach,726,138,12.5625,16.5,3.9375
gemma-2-2b,24,val,val,zh,de,tief,"""tief""的反义词是""",flach,726,623,12.5625,14.25,1.6875
gemma-2-2b,24,val,freq,zh,de,tief,"""tief""的反义词是""",flach,726,986,12.5625,13.0,0.4375
gemma-2-2b,24,freq,desc,zh,de,tief,"""tief""的反义词是""",flach,726,1193,12.5625,12.125,-0.4375
gemma-2-2b,24,freq,val,zh,de,tief,"""tief""的反义词是""",flach,726,2695,12.5625,9.375,-3.1875
gemma-2-2b,24,freq,freq,zh,de,tief,"""tief""的反义词是""",flach,726,1743,12.5625,11.625,-0.9375
gemma-2-2b,25,desc,desc,zh,de,schlecht,"""schlecht""的反义词是""",gut,256,524,15.5,14.3125,-1.1875
gemma-2-2b,25,desc,val,zh,de,schlecht,"""schlecht""的反义词是""",gut,256,1197,15.5,11.75,-3.75
gemma-2-2b,25,desc,freq,zh,de,schlecht,"""schlecht""的反义词是""",gut,256,4088,15.5,9.75,-5.75
gemma-2-2b,25,val,desc,zh,de,schlecht,"""schlecht""的反义词是""",gut,256,4,15.5,20.875,5.375
gemma-2-2b,25,val,val,zh,de,schlecht,"""schlecht""的反义词是""",gut,256,454,15.5,15.6875,0.1875
gemma-2-2b,25,val,freq,zh,de,schlecht,"""schlecht""的反义词是""",gut,256,37,15.5,16.0,0.5
gemma-2-2b,25,freq,desc,zh,de,schlecht,"""schlecht""的反义词是""",gut,256,627,15.5,14.4375,-1.0625
